class_name,sdk_name
com.akamai.botman.f,Akamai Bot Manager SDK
com.akamai.botman.v,Akamai Bot Manager SDK
com.akamai.botman.w,Akamai Bot Manager SDK
com.akamai.botman.g,Akamai Bot Manager SDK
com.alipay.sdk.widget.e,Alipay SDK
com.alipay.sdk.m.x.e,Alipay SDK
com.alipay.sdk.auth.AuthActivity,Alipay SDK
com.alipay.sdk.m.s.e,Alipay SDK
com.alipay.sdk.widget.p,Alipay SDK
com.alipay.sdk.app.H5AuthActivity,Alipay SDK
com.alipay.sdk.app.H5PayActivity,Alipay SDK
com.alipay.sdk.widget.h,Alipay SDK
com.alipay.sdk.widget.WebViewWindow,Alipay SDK
com.alipay.canvas.renderdetect.RenderDetector,Alipay SDK
com.iab.omid.library.amazon.publisher.b,Amazon Advertisement
com.iab.omid.library.amazon.publisher.c,Amazon Advertisement
com.amazon.device.ads.MraidBrowser,Amazon Advertisement
com.amazon.atvin.sambha.mwebinmshop.fragments.MiniTVWebFragment,Amazon Advertisement
com.amazon.device.ads.WebViewFactory$WebViewConstructor,Amazon Advertisement
com.amazon.device.ads.DtbDeviceData,Amazon Advertisement
com.amazon.device.ads.HtmlRenderer,Amazon Advertisement
com.amazon.device.ads.InternalAdRegistration$DeviceInfo,Amazon Advertisement
com.amazon.customwebview.CustomWebViewActivity$CustomWebChromeClient,Amazon Advertisement
com.amazon.identity.auth.device.authorization.MAPAuthzDialog,Amazon Auth SDK
com.amazon.identity.auth.device.authorization.PopupWebviewDialog,Amazon Auth SDK
com.amazon.identity.auth.device.WebUIActivity,Amazon Auth SDK
com.amazon.ags.html5.util.WebViewFactory,Amazon Game Studios
com.amazon.aps.iva.vj.o,Amazon Publisher Services
com.amazon.aps.iva.jp.g,Amazon Publisher Services
com.amazon.aps.iva.cb.b,Amazon Publisher Services
com.amazon.mobile.mash.util.WebViewSuspensionPolicy$WebViewTimerController$WebViewGetter,Amazon Shopping
com.amazon.mShop.util.ConfigUtils,Amazon Shopping
com.amazon.mShop.weblab.WeblabDebugUtil$2,Amazon Shopping
com.amazon.mShop.startup.latency.WebViewPrewarmer,Amazon Shopping
com.amazon.mShop.core.features.privateCachingLever.EmergencyLever,Amazon Shopping
com.amazon.mShop.localization.ApplicationLocalizationSwitchListener$1,Amazon Shopping
com.amazon.mShop.core.features.cacheinvalidation.CacheInvalidationRecoveryHandler,Amazon Shopping
com.amazon.mShop.core.features.cacheinvalidation.UserEventsToClearCache,Amazon Shopping
com.google.androidbrowserhelper.trusted.WebViewFallbackActivity$a,Android Browser Helper
com.google.androidbrowserhelper.trusted.q$a,Android Browser Helper
com.google.androidbrowserhelper.trusted.WebViewFallbackActivity,Android Browser Helper
com.google.androidbrowserhelper.trusted.n,Android Browser Helper
com.google.androidbrowserhelper.trusted.n$a,Android Browser Helper
com.google.androidbrowserhelper.trusted.WebViewFallbackActivity$1,Android Browser Helper
com.google.androidbrowserhelper.trusted.q,Android Browser Helper
com.google.android.material.navigation.a,Android Material
com.google.android.material.navigation.j$b,Android Material
android.print.a,Android Print
android.print.b,Android Print
android.print.PdfConverter,Android Print
android.print.PDFPrint,Android Print
android.print.PrintKundaliDialog,Android Print
com.google.android.datatransport.runtime.scheduling.persistence.m,Android Transport Runtime
com.androidquery.WebDialog,AndroidQuery
androidx.appcompat.app.ViewPumpAppCompatDelegate$a,Androidx
androidx.activity.v,Androidx
androidx.activity.m,Androidx
androidx.activity.l,Androidx
androidx.activity.g,Androidx
androidx.activity.f,Androidx
androidx.appcompat.app.i,Androidx
androidx.appcompat.app.j,Androidx
androidx.appcompat.app.s,Androidx
androidx.appcompat.app.PhraseAppCompatDelegate,Androidx
androidx.appcompat.app.i0$a,Androidx
androidx.appcompat.widget.x,Androidx
androidx.appcompat.widget.j,Androidx
androidx.appcompat.app.o,Androidx
androidx.appcompat.app.q$a,Androidx
androidx.appcompat.app.ViewPumpAppCompatDelegate$createView$1,Androidx
org.jetbrains.anko.b$v0,Anko
org.jetbrains.anko.$$Anko$Factories$Sdk27View$WEB_VIEW$1,Anko
org.jetbrains.anko.$$Anko$Factories$Sdk21View$WEB_VIEW$1,Anko
org.jetbrains.anko.$$Anko$Factories$Sdk15View$WEB_VIEW$1,Anko
org.jetbrains.anko.$$Anko$Factories$Sdk25View$WEB_VIEW$1,Anko
org.jetbrains.anko.$$Anko$Factories$Sdk27View$v0,Anko
org.jetbrains.anko.$$Anko$Factories$Sdk23View$WEB_VIEW$1,Anko
org.apache.cordova.inappbrowser.InAppChromeClient,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$ShowWebpageRunnable,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$g,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$5,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$8,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$7,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$10,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$f,Apache Cordova
org.apache.cordova.inappbrowser.InAppBrowser$6,Apache Cordova
org.apache.weex.ui.view.WXWebView,Apache Weex
org.apache.weex.ui.component.WXEmbed$FailToH5Listener,Apache Weex
com.appbrain.c.r0,AppBrain
com.appbrain.b0.u$a,AppBrain
com.appbrain.c.aq$1,AppBrain
com.appbrain.c.r$a,AppBrain
com.appbrain.c.x,AppBrain
com.sfbx.appconsent.core.provider.ConsentProvider$initializeWebView$1,AppConsent SDK
com.sfbx.appconsent.core.provider.ConsentProvider$evaluateScript$1$1,AppConsent SDK
com.appgeneration.mytunerlib.m.t.na,AppGeneration
com.appnext.core.f$1,AppNext
com.appnext.core.g,AppNext
com.appnext.core.e,AppNext
com.appnext.core.result.ResultPageActivity,AppNext
com.appnext.core.webview.AppnextWebView,AppNext
com.appnext.core.ResultActivity,AppNext
com.appnext.core.e$1,AppNext
com.appnext.banners.g,AppNext
com.appnext.banners.f,AppNext
com.appnext.banners.e,AppNext
com.appnext.actionssdk.ActionsServiceActivity,AppNext
com.appnext.core.f,AppNext
com.appnexus.opensdk.SDKSettings$1,AppNexus
com.appnexus.opensdk.TooDefinedDatabases,AppNexus
com.iab.omid.library.appnexus.publisher.b,AppNexus
com.appnexus.opensdk.SDKSettings$a,AppNexus
com.appnexus.opensdk.h$d,AppNexus
com.appnexus.opensdk.AdView,AppNexus
com.appnexus.opensdk.d,AppNexus
com.appnexus.opensdk.h,AppNexus
com.appnexus.opensdk.SdItalianRemoving,AppNexus
com.appnexus.opensdk.ANNativeAdResponse,AppNexus
com.appnexus.opensdk.ANJAMImplementation,AppNexus
com.appnexus.opensdk.AdWebView,AppNexus
com.appnexus.opensdk.a,AppNexus
com.appnexus.opensdk.b,AppNexus
com.appx.core.youtube.YTubePlayerView,AppX SDK
com.applovin.impl.sdk.utils.Utils,Applovin
com.applovin.impl.sdk.utils.u,Applovin
com.applovin.impl.adview.c,Applovin
com.applovin.impl.sdk.b0,Applovin
com.applovin.impl.sdk.ah,Applovin
com.applovin.impl.adview.d,Applovin
com.applovin.impl.sdk.n$a,Applovin
com.applovin.sdk.AppLovinWebViewActivity,Applovin
com.applovin.impl.adview.o,Applovin
com.applovin.impl.sdk.utils.w,Applovin
com.applovin.impl.zp,Applovin
com.applovin.impl.sdk.k$2,Applovin
com.applovin.impl.sdk.utils.t,Applovin
com.applovin.impl.sdk.j0,Applovin
com.applovin.impl.adview.c$1,Applovin
com.applovin.impl.sdk.aa,Applovin
com.applovin.impl.sdk.l$2,Applovin
com.applovin.impl.sdk.k$1,Applovin
com.applovin.impl.sdk.y,Applovin
com.applovin.impl.sdk.ac,Applovin
com.applovin.exoplayer2.a.c0,Applovin
com.applovin.exoplayer2.a.y,Applovin
com.iab.omid.library.applovin.publisher.b,Applovin
com.applovin.impl.iq,Applovin
com.applovin.impl.sdk.utils.k,Applovin
com.applovin.exoplayer2.e.b.c,Applovin
com.applovin.exoplayer2.b.f0,Applovin
com.applovin.exoplayer2.a.f0,Applovin
com.applovin.impl.sdk.utils.v,Applovin
com.applovin.exoplayer2.a.d,Applovin
com.applovin.impl.sdk.k$a,Applovin
com.applovin.exoplayer2.a.e0,Applovin
com.appodeal.consent.form.h,Appodeal
com.appodeal.consent.form.g$e,Appodeal
com.appodeal.consent.form.c$e,Appodeal
com.iab.omid.library.appodeal.publisher.b,Appodeal
com.apxor.androidsdk.plugins.realtimeui.h.e$b,Apxor SDK
com.apxor.androidsdk.plugins.wysiwyg.e,Apxor SDK
com.apxor.androidsdk.plugins.realtimeui.i.g$b,Apxor SDK
com.apxor.androidsdk.plugins.wysiwyg.d,Apxor SDK
com.iab.omid.library.audiomob.publisher.b,Audiomob SDK
tv.superawesome.sdk.publisher.managed.SAManagedAdView$webView$2,AwesomeAds
tv.superawesome.lib.sautils.SAUtils,AwesomeAds
tv.superawesome.a.k.d,AwesomeAds
com.ayetstudios.publishersdk.AyetSdk$g,Ayet SDK
com.ayetstudios.publishersdk.AyetSdk$h,Ayet SDK
com.ayetstudios.publishersdk.AyetSdk$l,Ayet SDK
anywheresoftware.b4a.objects.PdfDocumentWrapper$Printer,B4A
anywheresoftware.b4a.objects.WebViewWrapper,B4A
